Contact ID,First Name,Last Name,Email,Phone,Company,Lead Status,Lead Source,Created Date,Country
003ATB8P4H008XU,Paige,Jennings,smithelizabeth@harrison-anderson.com,078-752-9990,"Gregory, Morris and Martin",Closed - Not Converted,Purchased List,2024-06-05,Monaco
003A7EHA3GP6Y8Q,Billy,Clark,kimberlyreynolds@yahoo.com,001-467-031-3842x583,Padilla PLC,Working - Contacted,Other,2024-06-11,Dominica
0036D1G8UJ377N8,Steven,Ramos,bweaver@hotmail.com,+1-461-672-0988x75411,Bailey Group,Closed - Not Converted,Other,2024-08-22,Nepal
003DHUUP40ZI0LN,Rhonda,Stewart,smithaustin@wells-myers.info,466-972-0093,"Johnson, Thomas and Lawson",Closed - Not Converted,Phone Inquiry,2024-01-03,Marshall Islands
003S3U3DETLTXIF,Monica,Taylor,brandon32@salazar.com,001-616-228-4840x58003,Ward-Lopez,Closed - Converted,Partner Referral,2024-10-06,Somalia
003W5I0H3A0RNI4,Hannah,Sawyer,tracyhill@noble.net,001-583-899-1803,Williams LLC,Closed - Converted,Phone Inquiry,2024-04-10,Suriname
003D2990OAEJJQP,Manuel,Jones,erikaowens@yahoo.com,(442)778-5603,Howell-Haynes,Closed - Not Converted,Phone Inquiry,2024-02-05,Spain
003RKML1W7R7QWN,Alicia,Jackson,jacobjuarez@smith-smith.com,8198673555,Ibarra-Lamb,Closed - Converted,Phone Inquiry,2024-12-02,Vietnam
003JUWCIWJ96XDN,Donna,Mills,lucasklein@hudson-hill.org,001-860-460-9163x441,Johnson-Parker,Closed - Converted,Web,2024-03-21,Gambia
003SK8QDPTKUKUY,Andrew,Myers,martinnatalie@clark.net,001-850-981-9506x154,"Smith, Bryan and Chapman",Closed - Not Converted,Partner Referral,2024-05-15,Morocco
003HETF29DP0IAP,Raymond,Joseph,garciamaurice@roberson.com,263-686-6240,Garcia-Foster,Closed - Not Converted,Web,2024-05-18,Korea
003DHNOACU1IWHB,Ryan,Brewer,guzmanemily@thompson.com,+1-582-111-6108,"King, Huff and Black",Closed - Not Converted,Other,2024-02-09,Heard Island and McDonald Islands
003H56NGHIGP1SU,Christine,Carter,robinstone@holden.info,(206)839-8012x1981,Delgado-Valencia,Closed - Converted,Other,2024-01-20,Senegal
003H7TVBEHQLZE2,Rachel,Moore,brownjennifer@vincent.com,(814)780-8809x55819,Johnson Inc,Closed - Converted,Phone Inquiry,2024-01-08,Jordan
0037HSDVPUUKUUL,Marvin,Morse,austinadam@hotmail.com,+1-438-237-6325x886,Petersen LLC,Closed - Not Converted,Phone Inquiry,2024-02-28,Poland
003D4PQS1NJLAU3,Michelle,Trujillo,john16@hotmail.com,(896)926-8522x82621,"Levine, Roberts and Grant",Open - Not Contacted,Partner Referral,2024-11-26,Mauritania
003B0UZUPMTB795,David,Scott,nicole26@kirby.com,909-070-6291,Smith PLC,Closed - Not Converted,Purchased List,2024-06-25,Cote d'Ivoire
0034Q31GWYUPIQL,Steven,Ramirez,xmcdonald@hotmail.com,600.425.9244,Jones Group,Open - Not Contacted,Purchased List,2024-07-31,Northern Mariana Islands
003XWUVTA0LJZKY,Steven,Gonzalez,brittanyrodriguez@schneider-curry.com,+1-414-162-2266x44227,"Scott, Preston and Cole",Working - Contacted,Purchased List,2024-10-26,Somalia
0039LCMOV6CPEAI,Jill,Burns,charles32@davis-mcdonald.com,(618)316-3968x9922,Collins LLC,Open - Not Contacted,Phone Inquiry,2024-02-10,United States Minor Outlying Islands
00362TBEH48AKJ9,William,Evans,lolson@kennedy-sexton.org,194-497-4293x541,Hunt-Morris,Closed - Not Converted,Phone Inquiry,2024-07-11,Saint Vincent and the Grenadines
003OD7TLIUTBZ1X,Jeffrey,Mcdonald,markburton@yahoo.com,769-899-5325,"Day, Mccarthy and Williams",Working - Contacted,Purchased List,2024-03-25,Vanuatu
003ZNESTTPBALAE,Erica,Bryan,porterthomas@yahoo.com,0773473396,"Crawford, King and White",Open - Not Contacted,Purchased List,2024-06-28,Madagascar
0036DBFWV3QPZMW,Katie,Smith,amccarthy@hotmail.com,+1-976-718-2408x2033,"Hatfield, Black and Romero",Open - Not Contacted,Purchased List,2024-11-05,Sudan
003N6V0CSJYJIX2,Mario,Harris,reneewilliams@thomas.net,(184)095-1076x89843,Garcia Inc,Working - Contacted,Purchased List,2024-05-02,Antarctica (the territory South of 60 deg S)
0038F3KC49B6WQ0,Laura,Smith,brice@yu-armstrong.info,519-597-4582,Olson and Sons,Closed - Converted,Other,2024-06-21,Zimbabwe
00378GX2AKY0JFC,Patrick,Jenkins,gkelly@dickerson.com,499-636-7228x9034,"Ferguson, Sullivan and Davenport",Closed - Converted,Partner Referral,2024-11-11,Syrian Arab Republic
003FJD6WJH3IGM1,Alexander,Clark,qhuff@gmail.com,925-461-5903,Rogers-Hughes,Closed - Converted,Phone Inquiry,2024-03-30,Poland
003W2E5X3X2P9K0,Nicholas,Andrews,adamgonzalez@hoffman.com,001-133-382-4931x03348,Lee Group,Closed - Converted,Web,2024-09-01,Saint Vincent and the Grenadines
003MOJFDEC2W8CB,Travis,Davenport,charleshines@hotmail.com,637.115.6616x0453,"Taylor, Lewis and Mcmillan",Closed - Converted,Partner Referral,2024-10-27,Latvia
003YYV4FRHZYORP,Jonathan,Little,davidwilliams@hale-oliver.com,(815)107-1498,Benitez-Poole,Closed - Not Converted,Purchased List,2024-07-13,Burundi
00336OBXFOLL43K,Kimberly,Oconnell,larnold@walker-thompson.com,001-082-643-7135x981,Mitchell and Sons,Working - Contacted,Purchased List,2024-04-17,Cameroon
003YW6B5JYRRFXM,Christopher,Nelson,kathryn76@anderson.com,(729)192-6345,Sharp LLC,Closed - Converted,Phone Inquiry,2024-06-28,Argentina
0034PKWYUK6MG2P,Richard,Burton,leonnguyen@wagner.com,(162)736-9304x66821,"Hunter, Adams and Wilson",Closed - Converted,Partner Referral,2024-03-26,Trinidad and Tobago
003J4KMZ06M4H7B,Melissa,Kennedy,itaylor@harmon.org,977-929-3898,Hawkins LLC,Working - Contacted,Web,2024-10-16,Singapore
003WPGEIDJ4EUMT,Valerie,King,holmesrhonda@hotmail.com,582-988-9301x0360,"Cortez, Erickson and Khan",Open - Not Contacted,Web,2024-10-19,Oman
003PL7GARGRU9S3,Madison,Smith,matthewatkinson@hotmail.com,(153)166-5869,Figueroa-Smith,Open - Not Contacted,Web,2024-05-12,Singapore
003HZGIZRRNX1JE,Collin,Lamb,millerwilliam@yahoo.com,(546)516-1002x70139,Gomez PLC,Working - Contacted,Other,2024-04-15,Samoa
00367GNCPCEAHUZ,Sean,Reeves,tonya98@hotmail.com,758.201.6107x3698,Barrera Group,Working - Contacted,Partner Referral,2024-08-23,Ecuador
0037APR03BR43UY,Benjamin,Williams,johnsongeorge@brown-williams.com,897.794.2679,Collier Inc,Open - Not Contacted,Other,2024-02-08,Hong Kong
003W9GC6074K969,Ricky,Smith,sboyd@lin-daniels.org,(875)094-1473x76137,Johns Ltd,Closed - Not Converted,Partner Referral,2024-12-21,Equatorial Guinea
003MLYP6FGDGQGY,Alisha,Hughes,rita11@murphy.com,+1-060-232-4599x7417,Gray-Morgan,Open - Not Contacted,Phone Inquiry,2024-02-22,Saint Lucia
003TV8L1RF3T39P,Stacey,Becker,jim94@hotmail.com,514-193-8161x72456,Conrad LLC,Closed - Converted,Web,2024-03-20,Spain
003PXEHKDMVEBYC,Michelle,Leon,pamela48@powell-brown.net,054-260-1398x55380,Wallace-Adams,Open - Not Contacted,Other,2024-07-28,Nicaragua
0033L0MWRWFGLUE,Nicole,Peterson,dbarry@yahoo.com,001-786-869-0384,Carter-Jackson,Closed - Converted,Other,2024-01-08,Argentina
0030B5AJH1OFE0S,Amy,Rush,serranoregina@diaz.biz,615-630-2001x3088,"Moon, Woodward and Campbell",Working - Contacted,Purchased List,2024-07-01,Gambia
003RNDXPI8W8N6K,Kelli,Peterson,imiller@watson.org,(340)981-1063,"Barrera, Doyle and Chen",Open - Not Contacted,Purchased List,2024-09-13,China
0032YFHQDIQ1ST2,Corey,Page,abenitez@house.biz,794-342-5605,Vaughn-Melton,Closed - Not Converted,Partner Referral,2024-09-16,France
003BOL4QRRT4OWW,Dawn,Jackson,brentwagner@white.net,+1-758-215-8185x831,"Wallace, Patterson and Farrell",Working - Contacted,Phone Inquiry,2024-11-28,Bahrain
0031XYUAPEGB5OD,Bryan,Wright,jennifergray@cantrell-carlson.net,953-915-6013,Torres-Morrison,Closed - Not Converted,Other,2024-03-25,Brazil
003B6GU2QUO2ALV,Derek,Lambert,robert41@chavez.info,933.501.1841,Morris Ltd,Open - Not Contacted,Purchased List,2024-05-19,Saint Vincent and the Grenadines
00396DOD5F8ZTZJ,Gina,Haynes,martinezamanda@gmail.com,169-793-2943x607,Stevens Group,Working - Contacted,Partner Referral,2024-05-23,Vietnam
