Contact ID,Account ID,First Name,Last Name,Email,Phone,Company,Lead Status,Lead Source,Created Date,Country
003XA4ET0VJARWE,001E1WL17FHS8ZZ,Brenda,Roberts,uromero@hotmail.com,(096)670-6317,"Lewis, Anderson and White",Open - Not Contacted,Web,2024-07-22,Egypt
003TXQHJ51BREQW,001E1WL17FHS8ZZ,Sarah,Baker,roberthampton@hotmail.com,740.961.2030x02616,Davis-Cross,Open - Not Contacted,Other,2024-12-19,Spain
0036TYMURGXWMAS,001ZF3GARM89AOS,Troy,Avila,epatterson@yahoo.com,001-755-276-4115x959,"Hughes, Ryan and Frazier",Closed - Converted,Phone Inquiry,2024-04-16,Hungary
003TPXIGNZMT7EB,001HP5RG19XVD2F,Gabriel,Curtis,welchbriana@yahoo.com,747.246.4968x3820,Tanner-King,Closed - Converted,Phone Inquiry,2024-04-13,Ghana
003A7JK64MHDYVC,00127W6HY8G1TPU,Paul,Harvey,kimberlypatel@davis.com,156.215.8047x5976,Fox-Carlson,Working - Contacted,Partner Referral,2024-10-21,Bangladesh
003I4XRC6DQ8YNV,001D3VFI23EYEVE,Edward,Reid,april86@anderson.net,+1-223-233-4485x511,Russo PLC,Closed - Not Converted,Partner Referral,2024-07-09,New Zealand
003C17WHC2Y65ZJ,001NX631LTJI7IU,Ashley,Powell,bward@martinez.com,(943)286-5897x409,"Abbott, Williamson and Wilcox",Open - Not Contacted,Phone Inquiry,2024-12-13,Saint Helena
003GUH2MZ4QB708,001P1IK7PQCC7CP,Brett,Martin,bookerglenn@gmail.com,868.582.4903x28182,Reeves Ltd,Closed - Not Converted,Web,2024-06-08,Holy See (Vatican City State)
003OPBB55L6INND,001SEFMU4YOLF8C,David,Williams,acruz@scott.org,108.963.4106x11054,Orozco Inc,Open - Not Contacted,Purchased List,2024-08-31,South Georgia and the South Sandwich Islands
003WWJZXIFI0KUP,0010WWL2KIRWSNE,Thomas,Brown,thomassteven@moreno-hughes.info,(263)300-1000x900,"Small, Barnes and Hansen",Open - Not Contacted,Other,2024-06-11,Colombia
0030T4LE6W8CFUB,001BYNBMH096XAW,Jose,Harper,vwilson@gmail.com,001-960-050-8006x40337,"Vaughn, Gallagher and Day",Closed - Not Converted,Partner Referral,2024-11-13,China
003W221UAO04YYP,001UQXX290ORG3C,Jennifer,Douglas,luis58@yahoo.com,001-420-367-1692x47413,"Flores, Burton and Robinson",Closed - Not Converted,Purchased List,2024-11-08,Austria
