Record ID,Account ID,First Name,Last Name,Email,Phone_person,Company,Lead Status,Lead Source,Created Date_person,Country_person,Record Type,Account Name,Phone_account,Website,Industry,Account Type,Billing Address,Created Date_account,Country_account
00Q9GZZKR2KA7RB,001M8HKDMPG5M3M,Katelyn,Davis,romerolauren@yahoo.com,+1-807-046-9725,"Carrillo, Henderson and Moreno",Closed - Converted,Phone Inquiry,2024-06-18,Guinea-Bissau,Lead,Miller-Diaz,9849553203,https://www.barton-brown.com/,Healthcare,Vendor,"31681 Mark Row Apt. 788
South Amanda, GA 97768",2024-11-15,Reunion
00QLP030042Z38F,001GG94SRS8YBJQ,Michelle,Johnson,terrihunter@jordan-nguyen.info,(874)649-7716x7215,"Jacobson, Jackson and Jennings",Open - Not Contacted,Phone Inquiry,2024-11-12,Faroe Islands,Lead,Chan-Miller,264-444-6357x5873,http://diaz.biz/,Education,Vendor,"2034 Melissa Mill
Joseside, MT 25171",2024-12-16,Svalbard & Jan Mayen Islands
00QIRQO7ZFRJQMR,001ZM8ZJ31LLMOF,Andre,Sullivan,jennifer57@yahoo.com,229-482-6752x5485,Sullivan-Donovan,Working - Contacted,Purchased List,2024-11-26,Panama,Lead,Esparza-Vaughn,001-650-360-4087x966,https://gray-olson.com/,Education,Vendor,"381 Montgomery Gateway
Jaredmouth, CA 53935",2024-04-10,United Arab Emirates
00QKID8T83EZMCW,001QQDUKEXUU5XO,Edwin,Navarro,ramirezrichard@yahoo.com,606-665-1462x58624,Taylor-Moss,Closed - Not Converted,Other,2024-04-10,Tuvalu,Lead,Gamble Ltd,292-398-4669x27803,http://www.rivera-guzman.net/,Technology,Customer,"317 Simpson Extensions Suite 685
Clarkview, RI 02921",2024-03-07,Liberia
00QLUM8O9PDNLRW,0012YEU42DN2YOI,Nicholas,Andrews,trevorperez@park.com,001-887-727-5135x907,Harris Ltd,Closed - Converted,Phone Inquiry,2024-07-29,Tajikistan,Lead,Steele-Bennett,001-917-413-9878x6693,http://morgan.biz/,Retail,Vendor,"9751 Walker Lodge Suite 908
Robertfort, IN 74892",2024-08-06,United States Virgin Islands
00QFLH8S5FSCLI9,0019O54L0L5CGSA,Denise,Hall,michelle13@branch-bailey.biz,8305482037,Miller-Munoz,Closed - Not Converted,Purchased List,2024-03-24,El Salvador,Lead,"Smith, Owen and Peterson",1685800462,https://www.roman-jackson.com/,Education,Vendor,"9444 Vargas Extensions
Racheltown, PA 53188",2024-01-06,American Samoa
00Q4C3RLJE5S0QB,0010Q22219SK1VA,Patrick,Hahn,elizabethjones@green.com,001-221-872-9765x94602,"Hayes, Evans and Bryant",Working - Contacted,Phone Inquiry,2024-04-21,French Guiana,Lead,Cruz Group,597-767-9717x87454,https://nelson.com/,Technology,Partner,"72144 Lucas Causeway Apt. 387
Hollyburgh, IA 40723",2024-10-13,Liechtenstein
00QV26NZSDKU0KF,001PAXHV2O0J3X9,Mia,Scott,johnnyshelton@jacobs.biz,0932268639,Lopez-Gallagher,Open - Not Contacted,Purchased List,2024-01-21,Holy See (Vatican City State),Lead,"Smith, Valenzuela and Morris",172-698-8477x534,http://mcbride.info/,Technology,Prospect,"62667 Jones Way
New Genestad, NE 88771",2024-05-24,Saint Barthelemy
00QLB2DALHQVY8K,00123ZQJN1CH197,Yvette,Keller,jameswilliams@johnson.com,967.746.2198x02839,"Romero, Coleman and Nunez",Working - Contacted,Purchased List,2024-12-09,Bouvet Island (Bouvetoya),Lead,"Hernandez, Perkins and Melendez",001-806-750-8788x77628,http://www.tapia.com/,Manufacturing,Customer,"35616 Dennis Roads Suite 988
Geraldport, WV 21057",2024-03-15,Tonga
00QMQBWT5ZL6PSK,001PJRQYELP5URK,Maxwell,Smith,brittany18@yahoo.com,635.047.9519,Durham Inc,Closed - Not Converted,Phone Inquiry,2024-11-14,Armenia,Lead,Solis-Campbell,958.253.2165,https://herring.com/,Retail,Vendor,"935 Chambers Skyway Apt. 412
Cannonchester, CA 84325",2024-12-07,Korea
00QHLNWNYO7BM93,001RIH1Z289LAPE,Sarah,Mcconnell,armstrongbrenda@gmail.com,(509)065-7578x8727,Watson-Hernandez,Working - Contacted,Partner Referral,2024-11-23,Isle of Man,Lead,"Cummings, Villarreal and Bryant",(388)524-5088,https://www.cook.com/,Retail,Partner,"1598 Kaufman Creek
Port Kevin, DC 65145",2024-08-03,Vanuatu
00Q12UYXCZ7WC6V,001KQ9T5I4R78IP,Sandra,Baird,heathermichael@armstrong.com,510-711-1837,Diaz LLC,Working - Contacted,Other,2024-12-06,Comoros,Lead,"Thomas, Walker and Adams",155-451-8974,https://jimenez.com/,Finance,Prospect,"90311 Heather Drive Apt. 810
North Tiffany, NH 76295",2024-09-14,Macedonia
00QJHBHAKX1RWP7,001P066GFO5O2NE,Bridget,Fleming,murraydaniel@phillips.com,001-764-708-4913x858,Bush Group,Closed - Not Converted,Partner Referral,2024-08-19,Faroe Islands,Lead,Webb LLC,(130)409-3489x575,https://castillo.org/,Technology,Prospect,"6065 Harris Street Apt. 168
North Mariah, RI 06463",2024-01-02,Bahrain
