Lead ID,Account ID,First Name,Last Name,Email,Phone,Company,Lead Status,Lead Source,Created Date,Country
00Q9GZZKR2KA7RB,001M8HKDMPG5M3M,Katelyn,Davis,romerolauren@yahoo.com,+1-807-046-9725,"Carrillo, Henderson and Moreno",Closed - Converted,Phone Inquiry,2024-06-18,Guinea-Bissau
00QLP030042Z38F,001GG94SRS8YBJQ,Michelle,Johnson,terrihunter@jordan-nguyen.info,(874)649-7716x7215,"Jacobson, Jackson and Jennings",Open - Not Contacted,Phone Inquiry,2024-11-12,Faroe Islands
00QIRQO7ZFRJQMR,001ZM8ZJ31LLMOF,Andre,Sullivan,jennifer57@yahoo.com,229-482-6752x5485,Sullivan-Donovan,Working - Contacted,Purchased List,2024-11-26,Panama
00QKID8T83EZMCW,001QQDUKEXUU5XO,Edwin,Navarro,ramirezrichard@yahoo.com,606-665-1462x58624,Taylor-Moss,Closed - Not Converted,Other,2024-04-10,Tuvalu
00QLUM8O9PDNLRW,0012YEU42DN2YOI,Nicholas,Andrews,trevorperez@park.com,001-887-727-5135x907,Harris Ltd,Closed - Converted,Phone Inquiry,2024-07-29,Tajikistan
00QFLH8S5FSCLI9,0019O54L0L5CGSA,Denise,Hall,michelle13@branch-bailey.biz,8305482037,Miller-Munoz,Closed - Not Converted,Purchased List,2024-03-24,El Salvador
00Q4C3RLJE5S0QB,0010Q22219SK1VA,Patrick,Hahn,elizabethjones@green.com,001-221-872-9765x94602,"Hayes, Evans and Bryant",Working - Contacted,Phone Inquiry,2024-04-21,French Guiana
00QV26NZSDKU0KF,001PAXHV2O0J3X9,Mia,Scott,johnnyshelton@jacobs.biz,0932268639,Lopez-Gallagher,Open - Not Contacted,Purchased List,2024-01-21,Holy See (Vatican City State)
00QLB2DALHQVY8K,00123ZQJN1CH197,Yvette,Keller,jameswilliams@johnson.com,967.746.2198x02839,"Romero, Coleman and Nunez",Working - Contacted,Purchased List,2024-12-09,Bouvet Island (Bouvetoya)
00QMQBWT5ZL6PSK,001PJRQYELP5URK,Maxwell,Smith,brittany18@yahoo.com,635.047.9519,Durham Inc,Closed - Not Converted,Phone Inquiry,2024-11-14,Armenia
00QHLNWNYO7BM93,001RIH1Z289LAPE,Sarah,Mcconnell,armstrongbrenda@gmail.com,(509)065-7578x8727,Watson-Hernandez,Working - Contacted,Partner Referral,2024-11-23,Isle of Man
00Q12UYXCZ7WC6V,001KQ9T5I4R78IP,Sandra,Baird,heathermichael@armstrong.com,510-711-1837,Diaz LLC,Working - Contacted,Other,2024-12-06,Comoros
00QJHBHAKX1RWP7,001P066GFO5O2NE,Bridget,Fleming,murraydaniel@phillips.com,001-764-708-4913x858,Bush Group,Closed - Not Converted,Partner Referral,2024-08-19,Faroe Islands
00QMIEATI24GEO3,001BOMRTWE1GO4V,David,Tate,jennifer91@yahoo.com,(451)798-8146x9899,"Ruiz, Campbell and Sexton",Closed - Not Converted,Partner Referral,2024-06-26,Netherlands
